would_take_again,quality,difficulty,last_name,first_name
N/A,4.5,2.8,Miller,Ryan
N/A,3.5,2.3,Garcia-Snyder,Diana
N/A,3.1,2.8,Ohuchi,Fumio
N/A,4.0,2.9,Modiano,Raimonda
N/A,4.5,3.8,Merz,Alexey
N/A,3.7,4.5,Pekkanen,Saadia
N/A,3.9,3.0,Kong,Katie
N/A,2.8,3.5,Schwarz,Florian
N/A,4.1,3.9,Wong,Edwin
N/A,2.8,4.1,Tuominen,Anne
N/A,4.7,1.6,Bierds,Linda
N/A,3.1,3.7,Hawes,Stephen
N/A,4.9,2.3,Grant,Lauren
N/A,3.6,2.1,Wang,Su-Ching
N/A,4.1,3.6,Harmon,"Alexandra ""Sasha"""
N/A,4.1,2.9,Clatterbaugh,Ken
N/A,3.7,2.4,Ewing,Andrew
N/A,4.3,3.3,McCollum,Jennifer
N/A,4.6,2.1,Hutchison,Jacob
N/A,4.2,3.9,Holzer,Kellie
N/A,4.4,1.8,Shewbert,Sarah
N/A,2.2,3.8,Willgerodt,Mayumi
N/A,4.4,2.0,Cohen,Jake
N/A,3.5,3.5,Ramamurthy,Priti
N/A,3.5,2.8,Grinder,David
N/A,4.3,1.4,Simmons,Cynthia
N/A,4.8,2.6,Fogarty,James
N/A,2.9,4.1,Werner,Lynn
N/A,3.1,3.8,Thavasi,Nigel
N/A,3.7,3.9,Masuga,Katy
N/A,4.7,1.6,Young,John
N/A,4.8,2.9,Patel,Tanvi
N/A,2.4,4.5,Shaw,Jennie
N/A,3.3,2.7,Cox,Collett
N/A,3.2,3.4,Lingle,Colin
N/A,4.8,2.0,Alam,Shamma
N/A,3.2,3.1,Pauwels,Heidi
N/A,4.3,2.8,Davila,Florangela
N/A,4.7,2.5,Campbell,Jessica
N/A,4.7,3.8,Congdon,Roark
N/A,3.9,3.5,Fung,Scott
N/A,4.7,1.6,Matthies,John
N/A,5.0,3.2,McHose,Brad
N/A,3.8,2.8,Clower,Erica
N/A,5.0,2.6,Khazzam-Horovitz,Hadar
N/A,3.3,3.0,Solomyak,Boris
N/A,2.0,3.4,SU,Yuhsuan
N/A,3.8,3.3,Wong,Ho Po
100%,4.5,2.7,Ellis,Mark
N/A,3.6,3.1,Sonenberg,Maya
40%,3.2,3.5,Fan,Wai Tong (Louis)
N/A,3.3,3.8,Kuenzel,David
N/A,3.4,2.8,Aponte-Roman,Camili
N/A,3.7,2.6,Sokoloff,Naomi
N/A,1.5,4.4,Wong,Gail
N/A,2.8,2.6,Kelley,Debbie
N/A,4.4,1.8,Wilbur,Alicia
N/A,3.4,3.4,Leukhina,Oksana
N/A,2.6,3.6,Woodgate,Rebecca
N/A,2.6,4.0,SU,"Alice, Peng-Ju"
N/A,5.0,3.4,Thornock,Jake
N/A,5.0,1.9,Joseph,Gail
N/A,4.0,2.8,Atkins,Paul
N/A,4.6,2.4,Manganaro,Anthony
N/A,4.1,3.7,Maibaum,Lutz
N/A,4.2,1.8,Stanich,Cynthia
N/A,3.3,2.8,McCoy,Shane
N/A,4.6,3.0,Meredith,Jennifer
N/A,4.3,2.0,Purcell,Mark
N/A,4.2,1.7,Starsky,Jacob Ben
N/A,3.9,3.8,Febry,Paul
N/A,3.8,3.0,Cho,Heekyoung
N/A,2.1,4.0,Penner,Marsha
N/A,4.8,2.4,Roberts,Austin
N/A,2.3,3.3,Bare,Bruce
N/A,4.9,1.6,Abdullahi,Dirir
100%,4.8,3.4,Robinson,Matt
N/A,3.6,2.8,Delgado,Andrea
N/A,4.9,2.0,Kahn,Miriam
N/A,4.8,2.0,Scowcroft,Tyler
N/A,4.8,2.5,Wong,Jane
N/A,4.0,2.2,Wirsing,Aaron
N/A,2.8,4.1,Rutledge,Laine
N/A,4.9,1.1,Suh,Ivana
N/A,4.3,2.7,Baros,Richard
20%,2.4,4.8,Sathe,Visvesh
N/A,4.8,1.9,Carver,Charles
N/A,2.8,2.8,Yoganarasimhan,Hema
N/A,2.7,4.3,Cookson,Brad
67%,3.7,2.3,Arduini,Beatrice
100%,5.0,3.0,Kiali,Nida
N/A,3.0,3.3,Taylor,Kirstine
N/A,2.6,4.2,Tai,Wei
100%,4.5,3.6,Riman,Manar
40%,2.1,4.0,Brzovic,Peter
100%,4.8,2.3,Selover,Stephanie
100%,4.8,1.3,Larson,Bob
50%,3.0,3.8,Swanson,Joshua
100%,4.6,2.4,Isaksen,Tania
75%,3.7,2.8,Boyle,Elizabeth
88%,4.5,3.3,Dodson,Thor
100%,5.0,2.1,Messinger,Seth
63%,3.6,3.0,Chavarria,Alvaro
100%,5.0,3.4,Cheong,Ya Kan Frances
80%,4.7,3.6,Pfeiffer,James
20%,2.3,4.8,Llobera,Marcos
N/A,3.0,3.9,Emery,Ashley
N/A,3.6,2.4,Dziwirek,Katarzyna
50%,2.7,3.3,Basu,Baishakhi
17%,2.3,4.1,Karlin,Anna
N/A,4.3,2.3,Mawkanuli,Talant
88%,4.7,2.6,Turchet,Amos
71%,4.0,3.0,Dubeau,Mathieu
100%,4.6,3.6,Alper,Jarod
88%,4.8,2.8,Arthur,Meagan
N/A,3.6,4.0,Savolainen,Christine
100%,5.0,3.3,Warfield,Elizabeth
50%,2.9,4.4,Eufemia,Gerardo
88%,4.6,3.3,Goeckner,Bennet
N/A,1.1,4.5,Bozic,Ivana
75%,4.4,3.8,Boeh,Kevin
N/A,2.5,3.9,Chen,Zhen-Qing
N/A,3.8,3.1,Spratt,Meg
N/A,3.6,3.5,Welland,Sasha
100%,3.7,3.6,Oveis Gharan,Shayan
100%,4.9,1.2,Hoffmann,Anna
88%,4.6,3.5,Nichols,Christina
100%,5.0,3.6,Champion,Kasey
N/A,2.5,3.6,Watkins,David
N/A,2.2,3.0,Ruha,Judy
N/A,4.1,3.0,Lape,Peter
N/A,4.5,4.6,Stanton,John
N/A,4.4,2.9,Stenberg,Ben
N/A,3.4,3.1,Diangelo,Robin
N/A,2.2,3.6,Fusco,Lisa
N/A,4.4,3.6,Kennedy,Donni
N/A,4.7,3.0,Friedman,Kathie
N/A,2.3,4.0,Benjamin,Mark
N/A,1.3,4.6,Young,Ted
N/A,3.0,3.4,Koo,Koopa
N/A,4.4,2.3,Benitez,Francisco
N/A,3.7,3.6,Manopimoke,Pym
N/A,3.9,3.4,Folland,Gerald
N/A,4.8,3.3,Kirson,Antonio
N/A,3.9,2.4,Zabowski,Darlene
N/A,4.2,1.9,McLaren,Brian
N/A,2.9,2.7,Smith,Eric
N/A,4.0,1.9,Harper,Brent
60%,3.9,2.0,Winglee,Robert
N/A,3.0,2.7,Swalla,Billie
N/A,1.6,3.6,Remow,Gabriella
N/A,4.7,2.4,Antikas,Theodore
N/A,3.5,3.7,Moran,Stacey
N/A,4.6,2.3,Hinckley,Tom
N/A,4.8,4.1,Little,Drego
N/A,3.9,3.1,Allen,David
N/A,4.3,3.7,Dana,Karam
N/A,4.2,1.6,Bhowmik,Davinder
N/A,2.4,4.1,Fine,Ione
N/A,2.3,3.5,Malatesta,Paul
N/A,4.1,3.4,Keyt,David
N/A,4.7,3.1,Schonlau,Rob
N/A,4.3,2.0,Tobar,Luis
N/A,4.1,3.3,Nelson,Danny
N/A,2.9,3.7,Hirschman,Charles
N/A,4.8,1.9,Holm,Arnold
N/A,4.3,3.7,Mesbahi,Mehran
N/A,3.9,3.6,Guthu,Sarah
N/A,3.2,2.9,Wang,Wei-Chih
N/A,2.5,4.0,Malte,Philip
N/A,4.5,3.0,Martin,Christopher
N/A,4.4,4.3,Feliciano,Maria
N/A,3.1,3.4,Bauman,Laurie
N/A,4.7,1.9,Chetty,Raj
N/A,4.5,3.4,Betz,Stacy
N/A,3.3,3.0,Bergstrom,Carl
N/A,4.1,2.7,Cahan,Ercument
N/A,2.1,3.7,Chen,Cynthia
N/A,3.2,3.0,Ding,Edwin
N/A,3.4,2.9,Warrior,Carol
N/A,3.0,2.6,Del Moral,Roger
N/A,4.4,1.6,Dai,Yuwen
N/A,3.1,3.0,Rufo,Kenneth
N/A,3.1,3.7,Siver,Christi
N/A,4.9,2.0,Rai,Candice
N/A,4.6,3.4,Brent,Danny
N/A,3.3,4.0,Hansen,Caitlin
N/A,3.9,3.0,Srinivasan,Sangeetha
N/A,3.9,3.6,Trinh,Kim
100%,4.6,2.7,Klavins,Eric
N/A,2.8,2.4,Stygall,Gail
N/A,4.8,2.1,Skov,Chris
N/A,2.7,2.4,Poznanski,Kazimierz
N/A,3.4,2.3,Kim,Mari
N/A,2.9,3.9,Goldsmith,Layne
N/A,4.4,2.2,Campbell,Elena
N/A,3.4,3.6,Lee,Dong Won
N/A,5.0,2.6,Blacksher,Erika
80%,4.3,4.0,Dashkeev,Vladimir
N/A,3.1,3.3,Parrish,Jay
N/A,3.2,2.6,Wilson,Sophia
N/A,2.9,2.4,Borch-Jacobsen,Mikkel
N/A,3.8,2.4,Hafso,Scott
N/A,3.3,3.3,Olden,Julian
N/A,4.0,3.0,Kalitzki,Judith
N/A,1.8,4.7,Dunham,Scott
N/A,2.8,3.7,Ganter,Mark
N/A,3.0,3.5,Maia,Pedro
N/A,4.8,1.7,Dykema,Julie
N/A,4.3,2.1,Meredith,Joe
N/A,1.5,3.4,Buckingham,Will
N/A,2.6,2.9,WU,Yuqi
N/A,5.0,2.7,Erickson,Lindsay
80%,3.8,3.0,Synovec,Robert
N/A,4.3,2.4,McCormick,Bruce
N/A,4.0,2.3,Shanitkvich,Justin
N/A,4.3,2.1,Zinchuk,Jennifer
N/A,4.8,2.9,Fiscus,Jaclyn
N/A,2.6,3.4,Eisenberg,Daniel
N/A,2.4,3.1,Huff,Jennifer
N/A,4.0,2.8,Ebrahimzadeh,Navid
N/A,2.1,2.1,Hanson,Nina
N/A,4.7,2.6,Little,Mary
N/A,4.5,3.2,Ahmed,Khalid
N/A,3.3,4.0,Barnes,Christopher
N/A,3.0,3.6,D'Ambruoso,William
N/A,4.2,2.4,Silvestri,Nicole
N/A,3.4,3.0,Hubbard,Alexander
N/A,2.1,3.9,Ho,Ken
N/A,5.0,1.6,Young,Alexander
N/A,4.9,3.7,Blumenstock,Joshua
N/A,4.4,1.6,Drewnowski,Adam
N/A,4.3,1.7,Kim,Ungsan
N/A,3.0,3.6,Huang,Shuai
100%,4.6,3.8,Handwerk,Gary
N/A,3.7,3.1,Taylor,Jesse
N/A,4.7,1.1,O'Neal,Max
N/A,3.4,2.6,Reichert,Nicholas
N/A,5.0,1.7,Schaeffer,Tesla
83%,4.7,3.2,Maley,Stephen
N/A,3.7,3.6,Fryberg,Stephanie
100%,4.9,2.7,Hannon,Lisa
100%,4.2,3.2,Dennison,Jean
17%,2.5,3.2,Chowdhury,Iffat
N/A,2.3,3.0,Cox,Molly
60%,3.3,3.5,Marin,Monica
100%,5.0,2.4,Faulkner,Sarah
40%,2.9,3.7,Downs,Justin
67%,4.0,2.4,Weng,Yen-Chu
33%,2.7,3.3,Beard,Nathan
33%,2.7,4.0,Lee,Yurim
50%,2.3,4.1,Stanford,Acquanda
86%,4.4,2.7,Myhre,Theodore
57%,3.5,1.7,Viharo,Monica
71%,4.3,3.7,Feintzeig,Benjamin
71%,4.4,2.1,Savage,Phil
14%,2.0,4.6,MacDonald,Stuart
86%,3.5,2.3,Boulding,Kaitlyn
100%,5.0,2.4,Parr,Christianna
100%,5.0,1.9,Ho,Winnie
71%,4.4,2.6,Thompson,Lowell
71%,3.9,2.7,Tomczuk,Sara
100%,5.0,2.1,Gambhir,Vansh
57%,3.1,3.5,Grimmer,Chelsea
100%,5.0,4.0,Krystal,Barbara
100%,4.3,2.7,Shaw,Aimie
14%,1.9,3.6,Friedman,Batya
N/A,3.3,3.7,Brownlee,Donald
71%,3.3,3.7,Parsons,Christopher
86%,4.6,2.7,Gorstein,Jonathan
71%,3.6,3.7,Kahraman,Filiz
N/A,2.5,3.9,Schlosser,Ann
57%,3.5,3.0,Baradel,Lacey
29%,2.0,4.1,Richey,Jacob
29%,2.4,3.9,Duncan,Andrea
100%,4.4,2.6,Naslund,Skye
N/A,4.4,1.9,Blake,Joseph
N/A,3.9,3.6,Seslen,Tracey
N/A,4.3,2.2,Turner,Bich-Ngoc
N/A,3.3,2.8,De La Iglesia,Horacio
N/A,1.3,3.7,Bolokhov,Pavel
N/A,4.0,2.3,O'Toole,Helen
100%,4.7,2.7,Gerhardt,Bradley
71%,3.7,4.2,Johnson,Eli
100%,5.0,2.3,Lunderman,Shelby
86%,4.4,3.7,Won,Robert
83%,4.3,2.0,Scher,Steve
43%,3.3,3.2,Weatherly,Ryan
N/A,4.8,3.1,Miller,Greg
N/A,2.1,3.1,Shapiro,Linda
N/A,3.1,2.7,Korf,Lisa
N/A,5.0,2.8,Reed,Brian
N/A,4.8,3.0,Ebeling,Carl
N/A,3.7,2.5,Walsh,Kelly
N/A,4.1,3.0,Werrett,Simon
N/A,4.5,1.8,Immel,Don
N/A,4.8,2.2,Rauve,Rebecca
N/A,2.9,2.3,Hunn,Eugene
N/A,5.0,1.7,Sandjaja,Desiana Pauli
N/A,4.3,3.0,Vilches,Oscar
N/A,2.8,3.5,Fortson,Norval
N/A,4.9,2.3,Price,Alexander
N/A,3.8,2.0,Gamboa,Erasmo
N/A,4.8,2.5,Graham,Robin
N/A,4.3,2.8,Brett,Michael
N/A,4.6,4.2,Gould,Annabelle
N/A,4.4,3.0,Bryant,Jennifer
N/A,3.8,2.7,Rai,Sumant
N/A,3.9,2.3,Jaffee,Martin
N/A,4.5,3.5,Belot,FranCoise
N/A,4.9,1.8,Nixon,David
N/A,3.1,2.2,Basdeo,Ganeshdath
N/A,4.5,3.7,Corva,Dominic
N/A,3.8,2.5,Kumar,Subodha
N/A,3.8,2.5,Hacking,Paul
N/A,2.3,3.3,Ebrey,Patricia
N/A,2.9,3.2,Holman,Darryl
N/A,4.3,3.3,Heneghan,Aine
N/A,4.8,1.7,Childs,Mary
N/A,4.3,3.0,Christie,Patrick
N/A,3.0,3.0,Berlinghieri,Laura
N/A,4.8,3.0,Basse,Galen
N/A,3.1,2.5,Bakker,John
N/A,4.4,2.0,Antony,James
N/A,4.0,3.0,Gillick,Jim
N/A,3.8,2.5,Feld,Andrew
N/A,5.0,2.2,Briggs,David
N/A,4.4,3.2,Fox,Kelly
N/A,2.2,3.5,Schall,Lawrence
N/A,3.3,3.2,Fu,Qiang
N/A,4.9,2.2,Wirkala,Rita
N/A,4.2,1.7,Hernandez,Melanie
N/A,3.8,2.3,Olsen,Skylar
N/A,4.3,3.3,Featherman,Christopher
N/A,4.8,1.8,Panagiotides,Heracles
N/A,2.9,2.8,Mandell,Lewis
N/A,2.5,3.0,Bushnell,Jeanette
N/A,4.8,3.0,Khalil,Fahad
N/A,2.8,3.2,Chang,Feichien
N/A,3.9,3.3,Strom,Joel
N/A,4.0,3.3,Xu,Jun
N/A,2.9,3.3,Trainor,Sebastian
N/A,4.7,2.3,Holley,Erica
N/A,4.7,2.2,Skoog,Gabriel
N/A,2.7,3.5,Stumpo,Pamela
N/A,2.1,2.2,Calogero,Mark
N/A,3.7,3.8,Kremen-Hicks,Sarah
N/A,5.0,3.3,Malhotra,Mia Ayumi
N/A,3.8,4.5,Failing,Patricia
N/A,2.5,2.3,Wu,"Min ""Leslie"""
N/A,4.5,1.8,Das,Allison
N/A,4.7,2.2,Gill,James
N/A,4.2,3.2,Mc Dermott,Lois
N/A,3.4,2.2,Snyder,Lawrence
N/A,2.6,3.3,Boyle,Linda
N/A,4.7,3.3,Garcia,Maria Elena
N/A,4.0,2.8,Sudhinaraset,Pacharee
N/A,3.8,2.3,Fox,Joan
N/A,3.9,2.5,Salk,Jennifer
N/A,2.4,3.8,TA,Trang X
N/A,2.3,4.0,Gill,Kathy
N/A,3.7,2.7,Berliner,Dan
N/A,4.6,1.8,Johnson,Jack Arthur
60%,3.5,2.8,Brennan,Carrie
N/A,4.8,1.3,Schmidt,Andrea
N/A,4.6,2.3,Aylar,Emre
N/A,1.7,4.5,Ford,David
N/A,3.7,3.5,Stetson,Daniel
N/A,3.5,2.5,Trout,Deborah
N/A,4.8,1.5,SO,Janice
N/A,3.5,3.0,Titus,Sarah
N/A,4.1,2.8,McCormick,Tyler
N/A,2.8,4.2,Wenzl,Andrew
N/A,4.0,2.2,Archibald-Seiffer,Josh
N/A,1.8,3.8,Oskin,Mark
N/A,4.6,1.5,Dubrow,Jennifer
N/A,5.0,3.5,Carroll,Jennifer
N/A,3.3,3.0,Lou,Shuwen
N/A,3.5,3.0,Lee,Seojin
N/A,5.0,2.2,Overney,Rene
N/A,3.3,1.8,Laynor,Gregory
N/A,3.8,3.0,Zhu,Dan
N/A,4.8,2.7,Arvidson,Heather
N/A,3.2,1.5,Secrist,Cory
N/A,4.5,2.2,Fleming,Kevin
N/A,4.8,1.8,Tran,Linh
N/A,2.4,5.0,Ernst,Michael
N/A,2.2,3.8,Fernandes,April
N/A,4.6,3.0,Monard,François
N/A,3.9,3.0,Amrute,Sareeta
N/A,2.3,3.8,Henderson,Mary Anne
N/A,2.9,2.3,Luo,Xiaoran
N/A,4.7,2.7,Trenchard,Seth
N/A,2.8,3.7,Owens,Kelly
N/A,5.0,1.7,Manji,Nabil
N/A,2.8,4.2,Brown,J. Michael
N/A,4.2,3.2,Ailion,Michael
N/A,3.5,3.5,Cantu,Nadège
N/A,4.1,3.3,Meredith,Jesse
N/A,2.8,2.2,Gay,Geneva
N/A,4.1,1.5,Ward,Sarah
N/A,5.0,2.8,Chih-Chi,Chou
N/A,3.8,1.8,Cenatiempo,Dantzel
N/A,2.9,4.2,McCurdy,Sean
N/A,2.9,4.2,Moon,Ruth
N/A,4.3,3.7,Sharpe,Stephen
N/A,4.7,3.0,Burns,Michael
80%,4.1,3.0,Dunn,Lea
N/A,2.1,3.8,Woodrow,Kim
N/A,2.9,2.8,Hoppins,Suzanne
N/A,3.4,3.7,Salem,Walid
N/A,2.1,3.8,Olson,Kristina
N/A,4.8,2.2,Janssen,Elizabeth
N/A,3.1,1.5,De La Rocha,David
80%,4.4,4.0,Williams,Helene
N/A,2.9,1.7,Gemelas,Jordan
N/A,3.9,2.2,Macklin,Mandy
N/A,3.9,2.3,Goodson,Christopher
N/A,4.3,2.2,Warner,Michael
N/A,2.2,3.8,McGonagle,Matthew
20%,2.8,4.2,TUCKER,JEFFREY
100%,5.0,3.0,Behling,Shawn
80%,4.3,3.0,Brobeck,Emma
100%,4.8,2.8,Farrell,Ginger
67%,2.8,3.0,Teuton,Christopher
83%,4.0,3.3,Gupta,Abhinav
100%,5.0,3.7,Soule,Dax
100%,5.0,3.2,Hernandez,Jessica
100%,4.8,2.7,Kim,Hyein Amber
100%,5.0,3.2,Garimella,Aravinda
83%,3.7,3.5,Hsu,Shih-Chieh
33%,2.2,3.5,Conrod,Kirby
83%,4.0,3.5,Wang,Yiran
33%,2.0,3.7,Cooper,Joyce
67%,4.0,4.0,Tornabene,Luke
100%,4.7,3.8,Dimaio,Frank
100%,5.0,2.3,Aylor,Emma
83%,4.5,3.0,Meschke,John
17%,2.3,4.0,Oldham,Christian
33%,2.3,3.8,Scharp,Kristina
83%,3.8,3.0,Christensen,Emily
17%,1.8,4.3,Monroe,Jackson
100%,4.8,3.3,Theobald,Elli
100%,5.0,2.0,Walker,Thomas
N/A,4.0,2.0,Vidale,John
N/A,2.3,3.8,Porter,Jennifer
83%,4.0,2.2,Oehme,Annegret
67%,4.0,3.3,Ganguly,Indroneil
N/A,3.5,3.5,Long IV,James
100%,3.8,3.7,Suciu,Dan
33%,2.8,4.0,White,Jennifer
N/A,4.0,2.7,Halvorsen,Robert
100%,4.8,3.8,Grant,Stephanie
100%,5.0,2.4,Hochberg,Elizabeth
80%,4.3,3.8,Lorig,Matthew
83%,4.3,3.3,Southerland,Josh
N/A,2.0,4.5,Sackschewsky,Leisl
N/A,4.8,2.0,McCauley,Alexander
100%,4.5,2.3,Lee,Hee Eun Helen
83%,3.7,3.8,Lee,Heather
N/A,3.4,2.7,Soma,Mani
83%,4.3,1.8,Lally,Jaclyn
N/A,4.2,3.5,Wagner,Michael
83%,4.2,3.5,Geiger,Caleb
67%,3.0,3.3,Casad,Michelle
83%,4.3,2.5,Swaine,Michael
N/A,3.6,3.5,Hannaford,Blake
100%,5.0,2.5,Wong,Jarod
N/A,5.0,2.2,Sullivan-Clarke,Andrea
N/A,2.6,1.8,Storm,Daniel
N/A,3.2,2.8,Barzel,Yoram
N/A,4.8,2.0,Wygant,Christina
N/A,3.5,4.0,Blau,Herbert
N/A,3.1,2.8,Flores,Lauro
N/A,2.7,4.0,Harvey,Tracy
N/A,4.9,2.8,Harvey,Jessica
N/A,2.2,2.6,Newell,Laura
N/A,4.9,2.2,Franklin,Jerry
N/A,2.5,3.6,Feraboli,Paolo
N/A,5.0,1.0,Romar,Lorenzo
N/A,3.8,3.2,Punt,Andre
N/A,3.4,2.8,Witherspoon,Gary
N/A,4.8,2.2,Banas,Neil
N/A,4.2,2.4,Logsdon,Miles
N/A,4.6,2.2,Raffety,Brian
N/A,4.6,3.2,Hardisty,James
N/A,3.6,2.8,Atwood,April
N/A,4.6,2.4,Serafini,Brian
N/A,3.8,3.0,Neill,Dawn
N/A,4.4,2.0,Wang,Yinhai
N/A,3.7,3.2,Fabien,Brian
N/A,3.7,2.8,Zabinsky,Zelda
N/A,3.1,2.6,Ciol,Marcia
N/A,2.6,4.2,Davis,Trisha
N/A,4.7,2.6,Baker,Ashli
N/A,3.3,3.2,Tennis,Joe
N/A,4.9,3.0,Almassi,Ben
N/A,4.6,3.0,Berger,Paul
N/A,3.7,3.6,Summers,Lauren
N/A,4.5,2.2,Bassok,Miriam
N/A,2.2,4.6,Murray,Scott
N/A,4.7,3.4,Sorensen,Clark
N/A,2.7,2.8,Miller,Megan
N/A,4.2,1.8,Canton,Jessica
N/A,4.9,3.2,Deconinck,Bernard
N/A,4.5,1.8,Nguyen,Chi
N/A,2.7,3.6,Webber,Insook
N/A,4.2,3.4,Hauschka,Stephen
N/A,3.2,3.2,Armbrust,E. Virginia
N/A,3.3,3.0,Cabral,Cathryn
N/A,4.2,4.0,Willse,Travis
N/A,3.6,4.0,Moskal,L. Monika
N/A,3.3,4.2,Klastorin,Theodore
N/A,4.1,3.4,Gross,Allison
N/A,3.7,2.8,Lund,Arnold
N/A,2.8,3.6,Hebble,Aaron
N/A,2.4,3.0,Kim,Junhong
N/A,3.1,2.6,Manoucheka,Celeste
N/A,5.0,1.8,Assaad,Jacinthe
N/A,3.9,2.0,Oleyar,Michael
N/A,3.8,2.2,Lanning,Eamee
N/A,4.9,2.4,Rhodes,Lorna
N/A,3.2,3.4,O'Donnell,Sean
N/A,4.7,3.8,Enden,Lars
N/A,5.0,1.8,Dieleman,Joseph
N/A,3.4,3.0,Gwati,Ranganai
N/A,3.3,3.4,Rolandi,Marco
N/A,4.8,1.6,Parsons,Julie
N/A,4.2,1.6,Sztajnkrycer,Christina
N/A,4.0,3.2,Daum,Guenter
N/A,3.2,2.8,Mullins,James
N/A,3.0,3.2,Scheier,Shirley
N/A,4.9,1.8,Patrolia,Lee
N/A,4.1,3.8,Weddle,Courtland
N/A,3.0,3.2,Rosman,Artur
N/A,4.2,2.6,Paquette,Elliot
N/A,2.8,3.0,Lei,Weng Chi (florence)
N/A,4.3,1.2,Lemesurier,Jennifer
N/A,4.6,2.4,Bassok,Alon
N/A,3.4,2.8,Oyarzun,Fernanda
N/A,4.3,3.2,Choi,Daeshik
N/A,4.9,3.2,Balaguer Barbosa,Vilmari
N/A,4.6,3.0,Giffin,Erin
N/A,3.7,2.2,Rathe,Karen
N/A,4.0,4.4,Peeters,Jonathan
N/A,4.2,2.0,Repacholi,Betty
N/A,1.9,3.2,Webster,Jennifer
N/A,2.3,3.4,Mitra,Aditi
N/A,4.4,3.2,Crider,Juliet
N/A,4.8,1.6,Abernethy,Scott
N/A,5.0,1.0,Feetham,Dan
N/A,3.7,1.4,Seifert,Kristin
N/A,3.9,1.8,Wolfe,Whitney J.
N/A,2.8,3.4,Slivken,Erik
N/A,4.8,2.0,Ball-Blakely,Michael
N/A,2.7,3.4,Jacoby,Dan
N/A,4.9,2.6,Guldin,Marie
N/A,4.9,1.4,Lazo,Carlos
N/A,3.9,2.4,Sanchez,David
N/A,5.0,3.4,Pool,Heather
N/A,2.0,2.8,Hertzog,Nancy
N/A,2.1,3.8,Hong,Woo Hyung
N/A,3.8,2.8,Daniel,Krista
N/A,1.7,3.6,Najemnik,Jiri
N/A,3.8,3.0,Vidakovic,Milan
N/A,4.7,2.4,Fehr,Ryan
N/A,2.4,4.0,Kopas,Merritt
N/A,3.6,3.8,Berman,Jeffrey
N/A,4.1,1.6,Taylor,Janelle
N/A,3.9,2.4,Gray,Alexandria
N/A,3.9,3.0,Minin,Vladimir
N/A,2.0,3.4,Lewis,Mark
N/A,4.3,2.0,Campbell,Lilly
N/A,3.9,3.2,Perkel,David
N/A,4.0,2.8,Milanovich,Nebojsa
N/A,1.6,4.6,Kim,Dongsup
N/A,1.6,4.8,Newhouse,Leonie
N/A,2.1,4.0,GO,Joan
N/A,2.3,4.2,Twist,Alex
N/A,4.2,2.8,Quinn,Sarah
N/A,4.4,1.2,Maki,Nick
N/A,5.0,2.6,Beins,Mira
N/A,1.6,4.2,Deng,Kaihua
N/A,4.5,1.6,TU,Hang
N/A,4.5,3.2,Mehra,Mishita
N/A,3.6,2.6,Haynes,Maren
N/A,3.6,3.6,Zheng,Hailun
N/A,3.6,3.6,Jesty,Justin
N/A,4.8,1.8,Crofton-Sleigh,Elizabeth
N/A,4.4,2.4,Sisneros,Joseph
N/A,1.2,3.0,Olson,Krisjon
N/A,4.9,2.2,Iravani,Foad
N/A,2.4,4.0,Bose,Bijetri
N/A,2.0,4.2,Hwu,Shih-Teng
N/A,2.3,2.6,Lim,Tae
N/A,4.7,3.0,Pauzauskie,Peter
N/A,2.6,3.6,Hagen-Lukens,Deborah
N/A,4.7,3.2,Lalonde,Lise
N/A,4.6,3.8,Reddy,Chandan
N/A,4.9,4.0,Yu,Liping
N/A,3.8,3.2,Stathopoulos,Andreas
N/A,3.3,3.0,Zhang,Jian James
N/A,4.2,3.0,McCarty,Evan
N/A,3.8,3.0,Jaffee,Samuel
N/A,2.2,4.2,Cruz,Carlos
N/A,2.0,4.2,Tao,Jing
N/A,3.3,4.0,Snyder,Jaime
40%,3.0,3.2,Stocco,Andrea
N/A,3.0,3.8,Fowler,Christopher
N/A,3.7,1.4,Ohrbeck,Desiree
N/A,5.0,2.2,Giachetti,Lorenzo
N/A,2.8,3.8,Park,Soojin
N/A,3.5,3.8,Van Meter,Lucas
80%,3.8,3.6,Marlet,Elodie
40%,2.4,2.2,Ludlow,Catherine
100%,5.0,4.0,Dorfsman-Hopkins,Gabriel
100%,4.8,2.6,Retman,Sonnet
60%,3.8,1.6,Patin,Beth
N/A,1.0,3.6,Godfrey,Charles
100%,4.8,2.2,Evans,Garrett
100%,4.6,2.4,Burgess,Hailey
100%,5.0,2.4,Yaqub,Michael
20%,2.2,3.6,Shinozuka,Jeannie
100%,5.0,3.0,Durham,William
40%,2.6,4.0,Kim,Daisoon
80%,4.2,3.2,Smit Vega Garcia,Mariana
100%,4.8,2.6,Malik,Younsi
60%,4.0,4.2,Clemmons,Alexa
60%,4.4,2.2,Cao,Guozhong
20%,1.6,2.4,Yip,Jason
60%,3.6,4.2,Sperry,Betsy
100%,5.0,3.2,Anderson,John-Paul
60%,3.2,4.2,Li,Sailu
40%,3.0,3.6,Heinz,Heather
100%,5.0,3.6,Wong,Jennifer
20%,1.8,3.8,Maass,Kelsey
20%,2.4,3.8,Hinds,Bruce
N/A,4.4,2.0,Goodenkauf,Justin
N/A,2.9,3.6,Chung,Jaehyun
N/A,3.7,2.2,Robertson,Iain
N/A,4.7,2.4,Champoux,James
